,participant,question,choice,task,reward,trial,tier
0,0,absAssess0,4,0,0,0,0.0
1,0,relAssess0,50,0,0,1,0.0
2,0,diffOther0,6,0,0,2,0.0
3,0,diffSelf0,6,0,0,3,0.0
4,0,Q1,he or she is expected to master the printed form of language.,0,0,4,0.0
5,0,Q2,"man, he found",0,0,5,0.0
6,0,Q3,poetry along with all the other arts is,0,0,6,0.0
7,0,Q4,difficulty to choose,0,0,7,0.0
8,0,Q5,to make one's own decisions.,0,0,8,0.0
9,0,Q6,are native,0,0,9,0.0
10,0,Q7,than a long period of continuous study.,0,0,10,0.0
11,0,Q8,those in Crime and Punishment exhibits,0,0,11,0.0
12,0,Q9,portrayal of the feelings of many Spaniards,0,0,12,0.0
13,0,Q10,and finally succeeded,0,0,13,0.0
14,0,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,0,14,0.0
15,0,Q12,lonely in the crib and enjoying the company of adults is consistently fascinated at,0,0,15,0.0
16,0,Q13,the city council will designate him,0,0,16,0.0
17,0,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
18,0,Q15,If the room would have been brighter,0,0,18,0.0
19,0,Q16,two students because of their notes.,0,0,19,0.0
20,0,Q17,through which exchange of gas occurs,0,0,20,0.0
21,0,Q18,who tend to resist any attempt at,0,0,21,0.0
22,0,Q19,The amounts of water varies in living cells,0,0,22,0.0
23,0,Q20,The belief of ancient scientists was,0,0,23,0.0
24,0,score,4,0,0,24,0.0
25,0,absAssess1,3,0,0,25,0.0
26,0,relAssess1,12,0,0,26,0.0
27,0,diffOther1,9,0,0,27,0.0
28,0,diffSelf1,9,0,0,28,0.0
29,1,absAssess0,12,0,0,0,0.0
30,1,relAssess0,59,0,0,1,0.0
31,1,diffOther0,5,0,0,2,0.0
32,1,diffSelf0,3,0,0,3,0.0
33,1,Q1,he or she is expected to master the printed form of language.,0,0,4,0.0
34,1,Q2,man and found,0,0,5,0.0
35,1,Q3,"poetry, along with all the other arts, is",0,0,6,0.0
36,1,Q4,it difficult to choose,0,0,7,0.0
37,1,Q5,to accept responsibility for one's own decisions.,0,0,8,0.0
38,1,Q6,is native to shores,0,0,9,0.0
39,1,Q7,"than a long, continuous period of study.",0,0,10,0.0
40,1,Q8,those in Crime and Punishment exhibit,0,0,11,0.0
41,1,Q9,portrayal of the feelings of many Spaniards,0,0,12,0.0
42,1,Q10,and finally succeeded,0,0,13,0.0
43,1,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,0,14,0.0
44,1,Q12,"alone or in company, is consistently fascinated at",0,0,15,0.0
45,1,Q13,he designated the city council,0,0,16,0.0
46,1,Q14,"""Bob have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
47,1,Q15,If the room would have been brighter,0,0,18,0.0
48,1,Q16,two students because they used notes anyway.,0,0,19,0.0
49,1,Q17,through which exchange of gas occurs,0,0,20,0.0
50,1,Q18,who tend to resist any attempt at,0,0,21,0.0
51,1,Q19,The amount of water in living cells varies,0,0,22,0.0
52,1,Q20,The belief of ancient scientists were,0,0,23,0.0
53,1,score,10,0,0,24,0.0
54,1,absAssess1,9,0,0,25,0.0
55,1,relAssess1,50,0,0,26,0.0
56,1,diffOther1,5,0,0,27,0.0
57,1,diffSelf1,4,0,0,28,0.0
58,2,absAssess0,13,0,0,0,0.0
59,2,relAssess0,79,0,0,1,0.0
60,2,diffOther0,3,0,0,2,0.0
61,2,diffSelf0,3,0,0,3,0.0
62,2,Q1,he or she is expected to master the printed form of language.,0,0,4,0.0
63,2,Q2,man and found,0,0,5,0.0
64,2,Q3,poetry along with all the other arts is,0,0,6,0.0
65,2,Q4,difficulty to choose,0,0,7,0.0
66,2,Q5,accepting responsibility for one's own decisions.,0,0,8,0.0
67,2,Q6,are native to shores,0,0,9,0.0
68,2,Q7,than a long period of continuous study.,0,0,10,0.0
69,2,Q8,Crime and Punishment exhibits,0,0,11,0.0
70,2,Q9,portrayal of the feelings of many Spaniards,0,0,12,0.0
71,2,Q10,and finally succeeding,0,0,13,0.0
72,2,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,0,14,0.0
73,2,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated at",0,0,15,0.0
74,2,Q13,the city council's designating him,0,0,16,0.0
75,2,Q14,"Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?",0,0,17,0.0
76,2,Q15,If the room had been brighter,0,0,18,0.0
77,2,Q16,two students because of their notes.,0,0,19,0.0
78,2,Q17,through which exchange of gas occurs,0,0,20,0.0
79,2,Q18,who tends to resist any attempt to,0,0,21,0.0
80,2,Q19,The amount of water in living cells varies,0,0,22,0.0
81,2,Q20,The belief of ancient scientists was,0,0,23,0.0
82,2,score,6,0,0,24,0.0
83,2,absAssess1,12,0,0,25,0.0
84,2,relAssess1,73,0,0,26,0.0
85,2,diffOther1,3,0,0,27,0.0
86,2,diffSelf1,3,0,0,28,0.0
87,3,absAssess0,15,0,0,0,0.0
88,3,relAssess0,78,0,0,1,0.0
89,3,diffOther0,4,0,0,2,0.0
90,3,diffSelf0,3,0,0,3,0.0
91,3,Q1,he or she is expected to master the printed form of language.,0,0,4,0.0
92,3,Q2,man and found,0,0,5,0.0
93,3,Q3,"poetry, along with all the other arts, is",0,0,6,0.0
94,3,Q4,it difficult to choose,0,0,7,0.0
95,3,Q5,accepting responsibility for one's own decisions.,0,0,8,0.0
96,3,Q6,are native to shores,0,0,9,0.0
97,3,Q7,"than a period of long, continuous study.",0,0,10,0.0
98,3,Q8,those in Crime and Punishment exhibit,0,0,11,0.0
99,3,Q9,portrays the feelings of many Spaniards,0,0,12,0.0
100,3,Q10,and finally succeeded,0,0,13,0.0
101,3,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,0,14,0.0
102,3,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,0,15,0.0
103,3,Q13,the city council designated him,0,0,16,0.0
104,3,Q14,"""Bob have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
105,3,Q15,If the room was brighter,0,0,18,0.0
106,3,Q16,two students due to the use of their notes.,0,0,19,0.0
107,3,Q17,through which exchange of gases occurs,0,0,20,0.0
108,3,Q18,who tends to resist any attempt at,0,0,21,0.0
109,3,Q19,The amount of water in living cells varies,0,0,22,0.0
110,3,Q20,The belief of ancient scientists was,0,0,23,0.0
111,3,score,11,0,0,24,0.0
112,3,absAssess1,14,0,0,25,0.0
113,3,relAssess1,60,0,0,26,0.0
114,3,diffOther1,5,0,0,27,0.0
115,3,diffSelf1,5,0,0,28,0.0
116,4,absAssess0,10,0,0,0,0.0
117,4,relAssess0,50,0,0,1,0.0
118,4,diffOther0,4,0,0,2,0.0
119,4,diffSelf0,7,0,0,3,0.0
120,4,Q1,he or she is expected to master the printed form of language.,0,0,4,0.0
121,4,Q2,man and there he was able to find,0,0,5,0.0
122,4,Q3,"poetry, along with all the other arts, is",0,0,6,0.0
123,4,Q4,it difficult to choose,0,0,7,0.0
